model_ID;year;ntfp_name_2;ntfp_q_2;ntfp_unit_2;ntfp_p_2
45;27;Carbon;1,75;tC/ha/year;6
45;28;Carbon;1,73;tC/ha/year;6
45;29;Carbon;1,7;tC/ha/year;6
45;30;Carbon;1,68;tC/ha/year;6
47;1;Carbon;1,6;tC/ha/year;6
47;2;Carbon;4,06;tC/ha/year;6
47;3;Carbon;5,61;tC/ha/year;6
47;4;Carbon;6,5;tC/ha/year;6
47;5;Carbon;6,93;tC/ha/year;6
47;6;Carbon;7,03;tC/ha/year;6
47;7;Carbon;6,9;tC/ha/year;6
47;8;Carbon;6,62;tC/ha/year;6
47;9;Carbon;6,25;tC/ha/year;6
47;10;Carbon;5,82;tC/ha/year;6
47;11;Carbon;5,37;tC/ha/year;6
47;12;Carbon;4,92;tC/ha/year;6
47;13;Carbon;4,47;tC/ha/year;6
47;14;Carbon;4,05;tC/ha/year;6
47;15;Carbon;3,65;tC/ha/year;6
47;16;Carbon;3,28;tC/ha/year;6
47;17;Carbon;2,93;tC/ha/year;6
47;18;Carbon;2,62;tC/ha/year;6
47;19;Carbon;2,33;tC/ha/year;6
47;20;Carbon;2,07;tC/ha/year;6
47;21;Carbon;1,84;tC/ha/year;6
47;22;Carbon;1,63;tC/ha/year;6
47;23;Carbon;1,45;tC/ha/year;6
47;24;Carbon;1,28;tC/ha/year;6
47;25;Carbon;1,13;tC/ha/year;6
47;26;Carbon;1;tC/ha/year;6
47;27;Carbon;0,88;tC/ha/year;6
47;28;Carbon;0,78;tC/ha/year;6
47;29;Carbon;0,69;tC/ha/year;6
47;30;Carbon;0,6;tC/ha/year;6
49;1;Carbon;1,29;tC/ha/year;6
49;2;Carbon;3,31;tC/ha/year;6
49;3;Carbon;4,64;tC/ha/year;6
49;4;Carbon;5,45;tC/ha/year;6
49;5;Carbon;5,88;tC/ha/year;6
49;6;Carbon;6,04;tC/ha/year;6
49;7;Carbon;6;tC/ha/year;6
49;8;Carbon;5,83;tC/ha/year;6
49;9;Carbon;5,57;tC/ha/year;6
49;10;Carbon;5,25;tC/ha/year;6
49;11;Carbon;4,9;tC/ha/year;6
49;12;Carbon;4,54;tC/ha/year;6
49;13;Carbon;4,18;tC/ha/year;6
49;14;Carbon;3,83;tC/ha/year;6
49;15;Carbon;3,49;tC/ha/year;6
49;16;Carbon;3,16;tC/ha/year;6
49;17;Carbon;2,86;tC/ha/year;6
49;18;Carbon;2,58;tC/ha/year;6
49;19;Carbon;2,33;tC/ha/year;6
49;20;Carbon;2,09;tC/ha/year;6
49;21;Carbon;1,88;tC/ha/year;6
49;22;Carbon;1,68;tC/ha/year;6
49;23;Carbon;1,5;tC/ha/year;6
49;24;Carbon;1,34;tC/ha/year;6
49;25;Carbon;1,2;tC/ha/year;6
49;26;Carbon;1,07;tC/ha/year;6
49;27;Carbon;0,95;tC/ha/year;6
49;28;Carbon;0,85;tC/ha/year;6
49;29;Carbon;0,76;tC/ha/year;6
49;30;Carbon;0,67;tC/ha/year;6
50;1;Carbon;1,75;tC/ha/year;6
50;2;Carbon;4,38;tC/ha/year;6
50;3;Carbon;5,98;tC/ha/year;6
50;4;Carbon;6,84;tC/ha/year;6
50;5;Carbon;7,2;tC/ha/year;6
50;6;Carbon;7,21;tC/ha/year;6
50;7;Carbon;7;tC/ha/year;6
50;8;Carbon;6,63;tC/ha/year;6
50;9;Carbon;6,19;tC/ha/year;6
50;10;Carbon;5,7;tC/ha/year;6
50;11;Carbon;5,2;tC/ha/year;6
50;12;Carbon;4,7;tC/ha/year;6
50;13;Carbon;4,23;tC/ha/year;6
50;14;Carbon;3,79;tC/ha/year;6
50;15;Carbon;3,38;tC/ha/year;6
50;16;Carbon;3;tC/ha/year;6
50;17;Carbon;2,66;tC/ha/year;6
50;18;Carbon;2,35;tC/ha/year;6
50;19;Carbon;2,07;tC/ha/year;6
50;20;Carbon;1,82;tC/ha/year;6
50;21;Carbon;1,6;tC/ha/year;6
50;22;Carbon;1,4;tC/ha/year;6
50;23;Carbon;1,23;tC/ha/year;6
50;24;Carbon;1,08;tC/ha/year;6
50;25;Carbon;0,94;tC/ha/year;6
50;26;Carbon;0,83;tC/ha/year;6
50;27;Carbon;0,72;tC/ha/year;6
50;28;Carbon;0,63;tC/ha/year;6
50;29;Carbon;0,55;tC/ha/year;6
50;30;Carbon;0,48;tC/ha/year;6
51;1;Carbon;0,88;tC/ha/year;6
51;2;Carbon;2,1;tC/ha/year;6
51;3;Carbon;2,74;tC/ha/year;6
51;4;Carbon;3;tC/ha/year;6
51;5;Carbon;3,02;tC/ha/year;6
51;6;Carbon;2,89;tC/ha/year;6
51;7;Carbon;2,68;tC/ha/year;6
51;8;Carbon;2,43;tC/ha/year;6
51;9;Carbon;2,17;tC/ha/year;6
51;10;Carbon;1,92;tC/ha/year;6
51;11;Carbon;1,68;tC/ha/year;6
51;12;Carbon;1,46;tC/ha/year;6
51;13;Carbon;1,26;tC/ha/year;6
51;14;Carbon;1,09;tC/ha/year;6
51;15;Carbon;0,93;tC/ha/year;6
51;16;Carbon;0,8;tC/ha/year;6
51;17;Carbon;0,68;tC/ha/year;6
51;18;Carbon;0,58;tC/ha/year;6
51;19;Carbon;0,49;tC/ha/year;6
51;20;Carbon;0,42;tC/ha/year;6
51;21;Carbon;0,35;tC/ha/year;6
51;22;Carbon;0,3;tC/ha/year;6
51;23;Carbon;0,25;tC/ha/year;6
51;24;Carbon;0,21;tC/ha/year;6
51;25;Carbon;0,18;tC/ha/year;6
